sample_size,repeat,model,class,precision,recall,f1_score,support
2800,2,FS_PCA_L1_Logistic,6,0.8938053097345132,0.8416666666666667,0.8669527896995708,120.0
2800,2,FS_PCA_L1_Logistic,7,0.940677966101695,0.925,0.9327731092436975,120.0
2800,2,FS_PCA_Shrinkage_LDA,1,0.8931297709923665,0.975,0.9322709163346613,120.0
2800,2,FS_PCA_Shrinkage_LDA,2,0.967741935483871,0.75,0.8450704225352113,120.0
2800,2,FS_PCA_Shrinkage_LDA,3,0.8,0.8666666666666667,0.832,120.0
2800,2,FS_PCA_Shrinkage_LDA,4,0.9827586206896551,0.95,0.9661016949152542,120.0
2800,2,FS_PCA_Shrinkage_LDA,5,0.9491525423728814,0.9333333333333333,0.9411764705882353,120.0
2800,2,FS_PCA_Shrinkage_LDA,6,0.8208955223880597,0.9166666666666666,0.8661417322834646,120.0
2800,2,FS_PCA_Shrinkage_LDA,7,0.940677966101695,0.925,0.9327731092436975,120.0
2800,2,FS_PCA_RBF_SVM,1,0.8686131386861314,0.9916666666666667,0.9260700389105059,120.0
2800,2,FS_PCA_RBF_SVM,2,0.9537037037037037,0.8583333333333333,0.9035087719298246,120.0
2800,2,FS_PCA_RBF_SVM,3,0.8837209302325582,0.95,0.9156626506024096,120.0
2800,2,FS_PCA_RBF_SVM,4,0.9829059829059829,0.9583333333333334,0.9704641350210971,120.0
2800,2,FS_PCA_RBF_SVM,5,0.95,0.95,0.95,120.0
2800,2,FS_PCA_RBF_SVM,6,0.9292035398230089,0.875,0.9012875536480687,120.0
2800,2,FS_PCA_RBF_SVM,7,0.9568965517241379,0.925,0.940677966101695,120.0
2800,2,FS_PCA_RandomForest,1,0.875,0.9916666666666667,0.9296875,120.0
2800,2,FS_PCA_RandomForest,2,0.9509803921568627,0.8083333333333333,0.8738738738738738,120.0
2800,2,FS_PCA_RandomForest,3,0.8582677165354331,0.9083333333333333,0.8825910931174089,120.0
2800,2,FS_PCA_RandomForest,4,0.9344262295081968,0.95,0.9421487603305785,120.0
2800,2,FS_PCA_RandomForest,5,0.9338842975206612,0.9416666666666667,0.9377593360995851,120.0
2800,2,FS_PCA_RandomForest,6,0.9401709401709402,0.9166666666666666,0.9282700421940928,120.0
2800,2,FS_PCA_RandomForest,7,0.9304347826086956,0.8916666666666667,0.9106382978723404,120.0
1400,0,FS_PCA_L1_Logistic,1,0.8909090909090909,0.8166666666666667,0.8521739130434782,60.0
1400,0,FS_PCA_L1_Logistic,2,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0
1400,0,FS_PCA_L1_Logistic,3,0.9193548387096774,0.95,0.9344262295081968,60.0
1400,0,FS_PCA_L1_Logistic,4,0.9836065573770492,1.0,0.9917355371900827,60.0
1400,0,FS_PCA_L1_Logistic,5,0.921875,0.9833333333333333,0.9516129032258065,60.0
1400,0,FS_PCA_L1_Logistic,6,0.7903225806451613,0.8166666666666667,0.8032786885245902,60.0
1400,0,FS_PCA_L1_Logistic,7,0.9649122807017544,0.9166666666666666,0.9401709401709402,60.0
1400,0,FS_PCA_Shrinkage_LDA,1,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0
1400,0,FS_PCA_Shrinkage_LDA,2,0.98,0.8166666666666667,0.8909090909090909,60.0
1400,0,FS_PCA_Shrinkage_LDA,3,0.9333333333333333,0.9333333333333333,0.9333333333333333,60.0
1400,0,FS_PCA_Shrinkage_LDA,4,0.9833333333333333,0.9833333333333333,0.9833333333333333,60.0
1400,0,FS_PCA_Shrinkage_LDA,5,0.9824561403508771,0.9333333333333333,0.9572649572649573,60.0
1400,0,FS_PCA_Shrinkage_LDA,6,0.7638888888888888,0.9166666666666666,0.8333333333333334,60.0
1400,0,FS_PCA_Shrinkage_LDA,7,0.9193548387096774,0.95,0.9344262295081968,60.0
1400,0,FS_PCA_RBF_SVM,1,0.8548387096774194,0.8833333333333333,0.8688524590163934,60.0
1400,0,FS_PCA_RBF_SVM,2,0.9444444444444444,0.85,0.8947368421052632,60.0
1400,0,FS_PCA_RBF_SVM,3,0.9655172413793104,0.9333333333333333,0.9491525423728814,60.0
1400,0,FS_PCA_RBF_SVM,4,0.9672131147540983,0.9833333333333333,0.9752066115702479,60.0
1400,0,FS_PCA_RBF_SVM,5,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
1400,0,FS_PCA_RBF_SVM,6,0.8507462686567164,0.95,0.8976377952755905,60.0
1400,0,FS_PCA_RBF_SVM,7,0.9661016949152542,0.95,0.957983193277311,60.0
1400,0,FS_PCA_RandomForest,1,0.8412698412698413,0.8833333333333333,0.8617886178861789,60.0
1400,0,FS_PCA_RandomForest,2,0.9272727272727272,0.85,0.8869565217391304,60.0
1400,0,FS_PCA_RandomForest,3,0.9454545454545454,0.8666666666666667,0.9043478260869565,60.0
1400,0,FS_PCA_RandomForest,4,0.9354838709677419,0.9666666666666667,0.9508196721311475,60.0
1400,0,FS_PCA_RandomForest,5,0.9433962264150944,0.8333333333333334,0.8849557522123894,60.0
1400,0,FS_PCA_RandomForest,6,0.8235294117647058,0.9333333333333333,0.875,60.0
1400,0,FS_PCA_RandomForest,7,0.84375,0.9,0.8709677419354839,60.0
1400,1,FS_PCA_L1_Logistic,1,0.8529411764705882,0.9666666666666667,0.90625,60.0
1400,1,FS_PCA_L1_Logistic,2,0.9148936170212766,0.7166666666666667,0.8037383177570093,60.0
1400,1,FS_PCA_L1_Logistic,3,0.8253968253968254,0.8666666666666667,0.8455284552845529,60.0
1400,1,FS_PCA_L1_Logistic,4,0.9354838709677419,0.9666666666666667,0.9508196721311475,60.0
1400,1,FS_PCA_L1_Logistic,5,1.0,0.9166666666666666,0.9565217391304348,60.0
1400,1,FS_PCA_L1_Logistic,6,0.85,0.85,0.85,60.0
1400,1,FS_PCA_L1_Logistic,7,0.9230769230769231,1.0,0.96,60.0
1400,1,FS_PCA_Shrinkage_LDA,1,0.855072463768116,0.9833333333333333,0.9147286821705426,60.0
1400,1,FS_PCA_Shrinkage_LDA,2,1.0,0.7166666666666667,0.8349514563106796,60.0
1400,1,FS_PCA_Shrinkage_LDA,3,0.8360655737704918,0.85,0.8429752066115702,60.0
1400,1,FS_PCA_Shrinkage_LDA,4,1.0,0.95,0.9743589743589743,60.0
1400,1,FS_PCA_Shrinkage_LDA,5,1.0,0.9666666666666667,0.9830508474576272,60.0
1400,1,FS_PCA_Shrinkage_LDA,6,0.782608695652174,0.9,0.8372093023255814,60.0
1400,1,FS_PCA_Shrinkage_LDA,7,0.9523809523809523,1.0,0.975609756097561,60.0
1400,1,FS_PCA_RBF_SVM,1,0.8676470588235294,0.9833333333333333,0.921875,60.0
1400,1,FS_PCA_RBF_SVM,2,0.9615384615384616,0.8333333333333334,0.8928571428571429,60.0
1400,1,FS_PCA_RBF_SVM,3,0.9090909090909091,0.8333333333333334,0.8695652173913043,60.0
1400,1,FS_PCA_RBF_SVM,4,0.9830508474576272,0.9666666666666667,0.9747899159663865,60.0
1400,1,FS_PCA_RBF_SVM,5,0.9827586206896551,0.95,0.9661016949152542,60.0
1400,1,FS_PCA_RBF_SVM,6,0.8484848484848485,0.9333333333333333,0.8888888888888888,60.0
1400,1,FS_PCA_RBF_SVM,7,0.9516129032258065,0.9833333333333333,0.9672131147540983,60.0
1400,1,FS_PCA_RandomForest,1,0.8529411764705882,0.9666666666666667,0.90625,60.0
