sample_size,model,class,precision_mean,recall_mean,f1_mean,f1_std,support_mean
2800,FS_PCA_RandomForest,1,0.8458740470310319,0.9611111111111111,0.8997680452527893,0.03193464806569991,120.0
2800,FS_PCA_RandomForest,2,0.9572192513368983,0.8055555555555557,0.874820025504957,0.0016387826967001569,120.0
2800,FS_PCA_RandomForest,3,0.8515745030727867,0.8944444444444445,0.8724195187598319,0.02918850320241675,120.0
2800,FS_PCA_RandomForest,4,0.9723445366761543,0.9500000000000001,0.9608456657763282,0.016774503483255317,120.0
2800,FS_PCA_RandomForest,5,0.9451338462999906,0.9500000000000001,0.9473379730962644,0.008812595983463314,120.0
2800,FS_PCA_RandomForest,6,0.8752950752950753,0.8805555555555555,0.8777160303248602,0.06464385112296211,120.0
2800,FS_PCA_RandomForest,7,0.946534288034251,0.9277777777777777,0.9367253062404789,0.02261643903283388,120.0
2800,FS_PCA_Shrinkage_LDA,1,0.8707412448706258,0.9527777777777778,0.9096518715663849,0.023057890520317283,120.0
2800,FS_PCA_Shrinkage_LDA,2,0.9821908602150539,0.7694444444444445,0.8628499391410189,0.017301284286063815,120.0
2800,FS_PCA_Shrinkage_LDA,3,0.8468270756213644,0.8833333333333333,0.8645392223275978,0.04614921680782406,120.0
2800,FS_PCA_Shrinkage_LDA,4,0.9884807596201899,0.9527777777777778,0.9702969106863805,0.004237914698952138,120.0
2800,FS_PCA_Shrinkage_LDA,5,0.9585870793416852,0.9527777777777778,0.9553813014567529,0.01232654845157762,120.0
2800,FS_PCA_Shrinkage_LDA,6,0.822825316510177,0.9277777777777777,0.8721375266407104,0.03505519788381754,120.0
2800,FS_PCA_Shrinkage_LDA,7,0.9580551635440376,0.9500000000000001,0.9538645478418751,0.01948455003679756,120.0
5600,FS_PCA_L1_Logistic,1,0.8964426877470356,0.9500000000000001,0.9224414530702564,0.008608417244814048,240.0
5600,FS_PCA_L1_Logistic,2,0.9472291787495885,0.8472222222222223,0.8944053203841745,0.014594218908029677,240.0
5600,FS_PCA_L1_Logistic,3,0.9082731004070034,0.9277777777777777,0.9173422139443987,0.011778364329379074,240.0
5600,FS_PCA_L1_Logistic,4,0.9816781982865734,0.9659863945578232,0.9736592636067639,0.010153323348713826,147.0
5600,FS_PCA_L1_Logistic,5,0.967566835632326,0.9527777777777778,0.9600205434381369,0.012970544578017891,240.0
5600,FS_PCA_L1_Logistic,6,0.885631620035474,0.9319444444444445,0.9075760971308607,0.01922844914880397,240.0
5600,FS_PCA_L1_Logistic,7,0.965564535223978,0.9597222222222221,0.962453224141319,0.009299391316885182,240.0
5600,FS_PCA_RBF_SVM,1,0.8842437340009829,0.9763888888888889,0.9280258768050978,0.011703271488028718,240.0
5600,FS_PCA_RBF_SVM,2,0.980964293126123,0.8597222222222222,0.9163149480723778,0.012675433395058559,240.0
5600,FS_PCA_RBF_SVM,3,0.9404838660157809,0.9375,0.9386547254678045,0.012453397438523665,240.0
5600,FS_PCA_RBF_SVM,4,0.9907567049808429,0.9682539682539683,0.9793574989163946,0.009087651337893602,147.0
5600,FS_PCA_RBF_SVM,5,0.9690376963104236,0.9555555555555556,0.9621887237308214,0.011350810619440745,240.0
5600,FS_PCA_RBF_SVM,6,0.910338949539642,0.9597222222222221,0.9339905352829483,0.01492394073526526,240.0
5600,FS_PCA_RBF_SVM,7,0.968144777606846,0.9625,0.9651896294348313,0.00843067467192756,240.0
5600,FS_PCA_RandomForest,1,0.8760410897108106,0.9708333333333333,0.9209370701889142,0.0024139541789595007,240.0
5600,FS_PCA_RandomForest,2,0.9756062902614627,0.8319444444444445,0.898036923573041,0.0075100053361568985,240.0
5600,FS_PCA_RandomForest,3,0.8887353817165712,0.9430555555555555,0.9150798173618774,0.017620121870632832,240.0
5600,FS_PCA_RandomForest,4,0.9926785844052031,0.9206349206349206,0.9551770370106533,0.014884716361901276,147.0
5600,FS_PCA_RandomForest,5,0.9551820728291317,0.9472222222222223,0.9511854951185494,0.017419799158712442,240.0
5600,FS_PCA_RandomForest,6,0.9158159301016444,0.9347222222222222,0.9246309307534601,0.012162707537115312,240.0
5600,FS_PCA_RandomForest,7,0.9449028286224591,0.9527777777777778,0.9488212948433046,0.019294071223107296,240.0
5600,FS_PCA_Shrinkage_LDA,1,0.8828281786297053,0.9625,0.9209298886142614,0.010964836440560156,240.0
5600,FS_PCA_Shrinkage_LDA,2,0.9912453820604337,0.7847222222222222,0.8759479125216968,0.005523964583794193,240.0
5600,FS_PCA_Shrinkage_LDA,3,0.87661278049538,0.9222222222222222,0.8985460391646973,0.008527657049608898,240.0
5600,FS_PCA_Shrinkage_LDA,4,0.9906595751666174,0.9569160997732427,0.9734874849195932,0.007107279773162739,147.0
5600,FS_PCA_Shrinkage_LDA,5,0.9642684685057565,0.9388888888888888,0.9513911237853737,0.015063002946321924,240.0
5600,FS_PCA_Shrinkage_LDA,6,0.8608952604207812,0.9500000000000001,0.902671736745637,0.015263731166689743,240.0
5600,FS_PCA_Shrinkage_LDA,7,0.953177478427504,0.9597222222222221,0.956399721069558,0.0136743894136348,240.0
